Model,Dataset,Augmentation,Num_Workers,Num GPU,Num CPU,CPU Cores,mem_gb,BATCH_SIZE,CPU_TIME,GPU_TIME,NUM_BATCHES,
ResNet50,Imagenet,Zero ,0,1,1,32,64,64,2269.98,37.63,18002,
ResNet50,Imagenet,Extra Light,0,1,1,32,64,64,1910.65,37.63,18002,
ResNet50,Imagenet,Light,0,1,1,32,64,64,1611.87,37.63,18002,
ResNet50,Imagenet,Medium,0,1,1,32,64,64,1512.22,37.63,18002,
ResNet50,Imagenet,Heavy,0,1,1,32,64,64,1418.3,37.63,18002,
ResNet50,Imagenet,Zero ,0,1,1,32,64,128,2549.73,71.46,9001,
ResNet50,Imagenet,Extra Light,0,1,1,32,64,128,3790.22,71.46,9001,
ResNet50,Imagenet,Light,0,1,1,32,64,128,1953.41,71.46,9001,
ResNet50,Imagenet,Medium,0,1,1,32,64,128,2373.48,71.46,9001,
ResNet50,Imagenet,Heavy,0,1,1,32,64,128,2230.21,71.46,9001,
ResNet50,Imagenet,Zero ,4,1,1,32,64,64,44.68,37.7,18002,24.716746
ResNet50,Imagenet,Extra Light,4,1,1,32,64,64,54.33,37.7,18002,
ResNet50,Imagenet,Light,4,1,1,32,64,64,52.24,37.7,18002,
ResNet50,Imagenet,Medium,4,1,1,32,64,64,88.09,37.7,18002,
ResNet50,Imagenet,Heavy,4,1,1,32,64,64,91.05,37.7,18002,
ResNet50,Imagenet,Zero ,8,1,1,32,64,64,3.95,37.69,18002,
ResNet50,Imagenet,Extra Light,8,1,1,32,64,64,8.85,37.69,18002,
ResNet50,Imagenet,Light,8,1,1,32,64,64,7.83,37.69,18002,
ResNet50,Imagenet,Medium,8,1,1,32,64,64,26.36,37.69,18002,
ResNet50,Imagenet,Heavy,8,1,1,32,64,64,27.89,37.69,18002,
ResNet50,Imagenet,Zero ,16,1,1,32,64,64,4.27,37.73,18002,
ResNet50,Imagenet,Extra Light,16,1,1,32,64,64,4.52,37.73,18002,
ResNet50,Imagenet,Light,16,1,1,32,64,64,4.73,37.73,18002,
ResNet50,Imagenet,Medium,16,1,1,32,64,64,5.11,37.73,18002,
ResNet50,Imagenet,Heavy,16,1,1,32,64,64,5.26,37.73,18002,
ResNet50,Imagenet,Zero ,31,1,1,32,64,64,30.61,37.79,18002,
ResNet50,Imagenet,Extra Light,31,1,1,32,64,64,26.46,37.79,18002,
ResNet50,Imagenet,Light,31,1,1,32,64,64,21.5,37.79,18002,
ResNet50,Imagenet,Medium,31,1,1,32,64,64,20.39,37.79,18002,
ResNet50,Imagenet,Heavy,31,1,1,32,64,64,17.57,37.79,18002,
ResNet50,Imagenet,Zero ,31,1,1,32,64,128,67.15,71.78,9001,
ResNet50,Imagenet,Extra Light,31,1,1,32,64,128,56.93,71.78,9001,
ResNet50,Imagenet,Light,31,1,1,32,64,128,37.35,71.78,9001,
ResNet50,Imagenet,Medium,31,1,1,32,64,128,40.88,71.78,9001,
ResNet50,Imagenet,Heavy,31,1,1,32,64,128,40.88,71.78,9001,
